date,team1,team1_classified,score1,team2,team2_classified,score2,forfeit,extra_innings
2026-08-27,Northeast Nodaway,True,0,Albany,True,11,False,False
2026-08-27,Glendale,True,3,Branson,True,13,False,False
2026-08-27,Benton,True,8,Central (St. Joseph),True,9,False,False
2026-08-27,La Plata,True,0,Clark County,True,28,False,False
2026-08-27,Timberland,True,13,Cor Jesu Academy,True,5,False,False
2026-08-27,Russellville,True,17,Dixon,True,2,False,False
2026-08-27,Kelly,True,8,East Carter,True,0,False,False
2026-08-27,New Bloomfield,True,2,Eldon,True,3,False,False
2026-08-27,Farmington,True,3,Fox,True,4,False,False
2026-08-27,Washington,True,11,Francis Howell Central,True,9,False,False
2026-08-27,Eureka,True,2,Francis Howell North,True,4,False,False
2026-08-27,St. Joseph's Academy,True,16,Ft. Zumwalt North,True,5,False,False
2026-08-27,Marshfield,True,13,Halfway,True,3,False,False
2026-08-27,Van-Far with Community,True,2,Hallsville with Christian Fellowship Sr.,True,10,False,False
2026-08-27,University City,True,7,Hancock,True,17,False,False
2026-08-27,Oakville,True,5,Hillsboro,True,1,False,False
2026-08-27,Cameron,True,13,Jefferson (Conception) with South Nodaway,True,3,False,False
2026-08-27,Slater,True,15,Knob Noster,True,7,False,False
2026-08-27,Savannah,True,13,Lathrop,True,8,False,False
2026-08-27,King City with Pattonsburg,True,13,Lawson,True,7,False,False
2026-08-27,Hazelwood West,True,14,Lutheran South,True,15,False,False
2026-08-27,North Shelby,True,0,Macon,True,1,False,False
2026-08-27,Lafayette County,True,6,Maysville,True,7,False,False
2026-08-27,Marceline,True,8,Monroe City,True,1,False,False
2026-08-27,Maryville,True,0,North Andrew,True,18,False,False
2026-08-27,Harrisburg,True,6,North Callaway,True,1,False,False
2026-08-27,DeSoto with Kingston,True,1,Northwest (Cedar Hill),True,11,False,False
2026-08-27,Eugene,True,12,Osage,True,2,False,False
2026-08-27,Helias Catholic,True,12,Ozark,True,2,False,False
2026-08-27,Highland,True,12,Paris,True,7,False,False
2026-08-27,Ft. Zumwalt East,True,5,Parkway Central,True,15,False,False
2026-08-27,North Point,True,22,Parkway North with Principia,True,1,False,False
2026-08-27,Westminster Christian Academy,True,8,Parkway South,True,10,False,False
2026-08-27,Novinger,True,0,Princeton with Mercer,True,15,False,False
2026-08-27,Notre Dame de Sion,True,13,Raytown South,True,3,False,False
2026-08-27,Cuba,True,3,Rolla,True,25,False,False
2026-08-27,Boonville,True,1,Smith-Cotton,True,0,False,False
2026-08-27,Crocker,True,5,South Callaway,True,6,False,False
2026-08-27,Northeast (Cairo),True,2,Southern Boone,True,11,False,False
2026-08-27,St. Dominic,True,8,St. Joseph's Academy,True,5,False,False
2026-08-27,Lone Jack,True,9,St. Pius X (Kansas City),True,4,False,False
2026-08-27,Weaubleau,True,0,Westran,True,11,False,False
2026-08-27,Jamestown,True,7,Worth County,True,12,False,False
2026-08-27,Parkway West,True,18,Union,True,2,False,False
2026-08-27,St. James,True,0,Vienna,True,10,False,False
2026-08-27,Trenton,True,1,Worth County,True,2,False,False
2026-08-27,Ft. Zumwalt South,True,,Lutheran St. Charles with Veritas Christian Academy,True,,False,False
2026-08-28,Hillcrest,True,0,Aurora,True,15,False,False
2026-08-28,Seneca,True,8,Aurora,True,5,False,False
2026-08-28,Lee's Summit,True,0,Belton,True,19,False,False
2026-08-28,Kearney,True,2,Belton,True,1,False,False
2026-08-28,Washington,True,10,Blair Oaks,True,1,False,False
2026-08-28,Webb City,True,13,Bolivar,True,4,False,False
2026-08-28,Summit Christian Academy,True,5,Bolivar,True,7,False,False
2026-08-28,Francis Howell Central,True,14,Bowling Green,True,11,False,False
2026-08-28,St. Joseph's Academy,True,8,Bowling Green,True,1,False,False
2026-08-28,Iberia,True,2,California,True,8,False,False
2026-08-28,Waynesville,True,7,Camdenton,True,8,False,False
2026-08-28,Joplin,True,6,Carl Junction,True,0,False,False
2026-08-28,Seneca,True,1,Carl Junction,True,9,False,False
2026-08-28,Branson,True,1,Carthage,True,13,False,False
2026-08-28,Willard,True,15,Carthage,True,4,False,False
2026-08-28,Marshfield,True,10,Cassville,True,2,False,False
2026-08-28,Lee's Summit,True,5,Central (St. Joseph),True,3,False,False
2026-08-28,William Chrisman,True,0,Central (St. Joseph),True,16,False,False
2026-08-28,Truman,True,1,Centralia,True,9,False,False
2026-08-28,Odessa,True,0,Centralia,True,13,False,False
2026-08-28,Fatima,True,2,Chaffee,True,7,False,False
2026-08-28,Platte County,True,4,Chillicothe,True,2,False,False
2026-08-28,Harrisonville,True,0,Chillicothe,True,17,False,False
2026-08-28,Humansville,True,16,Climax Springs,True,15,False,False
2026-08-28,Westminster Christian Academy,True,4,Cor Jesu Academy,True,3,False,False
2026-08-28,Vienna,True,17,Crocker,True,4,False,False
2026-08-28,Republic,True,2,Dadeville with Everton,True,3,False,False
2026-08-28,Farmington,True,10,DeSoto with Kingston,True,0,False,False
2026-08-28,St. Joseph's Academy,True,5,Elsberry,True,18,False,False
2026-08-28,Jefferson City,True,7,Elsberry,True,11,False,False
2026-08-28,Pacific,True,1,Fatima,True,14,False,False
2026-08-28,Union,True,4,Festus,True,14,False,False
2026-08-28,Van-Far,True,1,Festus,True,8,False,False
2026-08-28,Silex,True,13,Fox,True,1,False,False
2026-08-28,Francis Howell,True,12,Fox,True,0,False,False
2026-08-28,Jackson,True,2,Francis Howell,True,6,False,False
2026-08-28,St. Joseph's Academy,True,3,Francis Howell Central,True,7,False,False
2026-08-28,North Point,True,1,Francis Howell North,True,4,False,False
2026-08-28,Macon,True,4,Francis Howell North,True,9,False,False
2026-08-28,Lafayette (Wildwood),True,5,Ft. Zumwalt North,True,0,False,False
2026-08-28,Parkway Central,True,15,Ft. Zumwalt North,True,4,False,False
2026-08-28,Rockwood Summit,True,0,Ft. Zumwalt West,True,12,False,False
2026-08-28,Kelly,True,0,Ft. Zumwalt West,True,10,False,False
2026-08-28,Cassville,True,6,Glendale,True,5,False,False
2026-08-28,Wheatland,True,2,Glendale,True,5,False,False
2026-08-28,St. Elizabeth,True,3,Grain Valley,True,12,False,False
2026-08-28,St. Michael the Archangel,True,16,Grandview,True,1,False,False
2026-08-28,Walnut Grove,True,3,Halfway,True,13,False,False
2026-08-28,Platte County,True,19,Harrisonville,True,0,False,False
2026-08-28,Republic,True,8,Hartville,True,0,False,False
2026-08-28,Sherwood,True,3,Hermitage,True,7,False,False
2026-08-28,Highland,True,7,Hickman,True,8,False,False
2026-08-28,Troy Buchanan,True,4,Hickman,True,3,False,False
2026-08-28,Troy Buchanan,True,10,Highland,True,0,False,False
2026-08-28,Westminster Christian Academy,True,9,Hillsboro,True,0,False,False
2026-08-28,Timberland,True,1,Hillsboro,True,15,False,False
2026-08-28,Oak Park,True,5,Holden,True,6,False,False
2026-08-28,Mid-Buchanan,True,6,Holden,True,3,False,False
2026-08-28,St. Dominic,True,11,Holt,True,3,False,False
2026-08-28,Winfield,True,16,Holt,True,0,False,False
2026-08-28,Silex,True,1,Jackson,True,2,False,False
2026-08-28,Warrenton,True,1,Jefferson City,True,0,False,False
2026-08-28,Hillcrest,True,0,Joplin,True,16,False,False
2026-08-28,West Platte,True,1,Kelly,True,2,False,False
2026-08-28,Parkway Central,True,13,Lafayette (Wildwood),True,9,False,False
2026-08-28,Kearney,True,3,Lee's Summit,True,4,False,False
2026-08-28,William Chrisman,True,1,Lee's Summit,True,17,False,False
2026-08-28,Smithville,True,3,Lee's Summit North,True,9,False,False
2026-08-28,Smith-Cotton,True,0,Lee's Summit North,True,9,False,False
2026-08-28,Fort Osage,True,1,Liberty,True,2,False,False
2026-08-28,Pleasant Hill,True,9,Liberty,True,3,False,False
2026-08-28,Notre Dame (Cape Girardeau),True,3,Lindbergh,True,4,False,False
2026-08-28,Neelyville,True,0,Lindbergh,True,10,False,False
2026-08-28,Liberty (Wentzville),True,3,Linn,True,6,False,False
2026-08-28,Grundy County with Newtown-Harris,True,9,Linn County,True,13,False,False
2026-08-28,Sullivan,True,7,Logan-Rogersville,True,5,False,False
2026-08-28,Blair Oaks,True,9,Logan-Rogersville,True,8,False,False
2026-08-28,Linn,True,5,Logan-Rogersville,True,6,False,False
2026-08-28,North Point,True,6,Macon,True,3,False,False
2026-08-28,Novinger,True,1,Madison,True,2,False,False
2026-08-28,Clopton with Elsberry,True,16,Marion County,True,4,False,False
2026-08-28,Notre Dame (Cape Girardeau),True,2,Marquette,True,5,False,False
2026-08-28,Neelyville,True,5,Marquette,True,10,False,False
2026-08-28,Wheatland,True,1,Marshfield,True,9,False,False
2026-08-28,Hartville,True,0,McDonald County,True,11,False,False
2026-08-28,Dadeville with Everton,True,5,McDonald County,True,6,False,False
