School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Silex,2.11,7.17,9.28,3,1,1
Princeton,2.99,4.69,7.68,1,3,2
Eugene,2.71,4.34,7.05,2,4,3
St. Elizabeth,1.65,4.23,5.88,5,5,4
North Shelby,-0.78,4.9,4.12,21,2,5
Stanberry,1.97,1.79,3.77,4,11,6
King City with Union Star,0.86,2.67,3.53,11,8,7
Worth County,-0.57,3.07,2.51,19,7,8
Glasgow,1.4,0.91,2.31,6,15,9
Russellville,1.26,0.81,2.07,7,16,10
Albany,-1.6,3.51,1.91,27,6,11
Halfway,-0.3,1.4,1.09,16,13,12
Dadeville with Everton,-1.26,1.87,0.61,23,9,13
North Andrew,-1.31,1.81,0.5,25,10,14
Maysville,-0.13,0.41,0.28,12,17,15
Vienna,-1.33,1.52,0.18,26,12,16
"Pattonsburg with North Daviess, Winston",0.96,-0.85,0.11,10,21,17
Community,-1.76,0.93,-0.83,30,14,18
Jefferson (Conception) with South Nodaway,1.25,-2.68,-1.43,8,32,19
Canton,-0.25,-1.74,-1.99,14,27,20
Gallatin,-1.93,-0.17,-2.11,33,18,21
Northeast (Cairo),-0.5,-1.87,-2.37,18,29,22
Paris,-2.11,-0.37,-2.49,34,19,23
Schuyler County,-1.28,-1.45,-2.73,24,24,24
Gilman City with Tri-County,-1.77,-1.53,-3.3,31,25,25
North Harrison,1.18,-4.52,-3.34,9,43,26
Stoutland,-2.28,-1.81,-4.09,35,28,27
Clopton,-3.19,-0.99,-4.18,37,22,28
Jamestown,-0.39,-3.92,-4.31,17,37,29
Crocker,-0.27,-4.3,-4.57,15,41,30
Van-Far,-1.6,-3.41,-5.01,28,36,31
Wheatland,-3.45,-1.64,-5.09,39,26,32
DeKalb,-2.77,-2.84,-5.61,36,34,33
Westran,-0.7,-5.03,-5.73,20,46,34
Sturgeon,-4.43,-1.38,-5.81,47,23,35
"Brunswick with Keytesville, Northwestern (Mendon)",-5.38,-0.78,-6.17,54,20,36
Norwood,-3.28,-3.29,-6.57,38,35,37
Northeast Nodaway,-0.13,-6.52,-6.65,13,51,38
Scotland County,-4.14,-2.57,-6.71,45,30,39
New Franklin,-3.94,-2.81,-6.75,43,33,40
Polo,-1.05,-6.16,-7.22,22,50,41
"Mercer with Cainsville, Ridgeway",-1.71,-5.72,-7.43,29,48,42
Naylor,-5.4,-2.62,-8.02,56,31,43
Weaubleau,-3.74,-4.45,-8.2,40,42,44
Knox County,-3.93,-4.27,-8.21,42,38,45
Tuscumbia,-3.75,-4.92,-8.66,41,45,46
Madison,-4.59,-4.29,-8.88,48,40,47
Stewartsville with Osborn,-5.89,-4.27,-10.17,60,39,48
Higbee,-5.79,-4.73,-10.52,58,44,49
"Braymer with Breckenridge, Southwest (Livingston County)",-5.19,-5.39,-10.58,53,47,50
Newburg,-5.11,-6.81,-11.91,52,52,51
Bishop LeBlond,-1.86,-10.12,-11.99,32,61,52
Pilot Grove,-4.76,-7.36,-12.12,49,54,53
Macks Creek,-6.81,-6.07,-12.89,65,49,54
Hermitage,-5.89,-7.05,-12.94,59,53,55
La Plata,-5.01,-8.44,-13.46,51,56,56
Green City,-4.09,-9.42,-13.52,44,60,57
Humansville,-5.39,-8.42,-13.81,55,55,58
Richland,-6.14,-9.24,-15.38,61,58,59
Atlanta,-4.27,-11.53,-15.79,46,66,60
Montrose with Appleton City,-6.33,-10.21,-16.54,63,62,61
Linn County,-5.59,-10.98,-16.57,57,64,62
Brashear,-7.13,-10.55,-17.69,67,63,63
Novinger,-8.73,-8.97,-17.7,71,57,64
Milan,-8.79,-9.26,-18.05,72,59,65
Grundy County with Newtown-Harris,-7.6,-11.02,-18.62,68,65,66
Walnut Grove,-4.98,-14.41,-19.39,50,72,67
Wellsville-Middletown,-6.85,-13.41,-20.26,66,69,68
Norborne with Hardin-Central,-6.32,-14.89,-21.21,62,74,69
Climax Springs,-8.3,-13.6,-21.9,70,71,70
"Tina-Avalon with Bosworth, Hale",-9.19,-13.27,-22.46,73,68,71
Laquey,-11.0,-13.56,-24.56,75,70,72
Marion County,-9.81,-15.03,-24.84,74,75,73
Meadville,-6.76,-19.65,-26.41,64,77,74
Bucklin with Macon County,-7.79,-19.32,-27.1,69,76,75
Bevier,-15.05,-13.23,-28.28,77,67,76
Fair Play,-13.72,-14.8,-28.52,76,73,77
